track_id,track_id,modality,source,time_day,number_of_samples,time_start,time_stop,time_total_s,time_total,avg_frequency,number_of_samples_af,time_start_af,time_stop_af,total_avg_speed,track_distance,mean_speed,max_speed,mean_accel,max_accel
1500000219649,1500000219649,car,Logger,2020-11-30 00:00:00.000,4890,2020-11-30 14:11:17.000,2020-11-30 14:19:25.900,488.9,0 days 00:08:08.900000,10.002045408058908,3155,2020-11-30 14:11:17,2020-11-30 14:19:25.800000,6.482031913396701,3169.065402459647,9.344998911975615,40.66793793305751,21.31426931375068,347.6793793305751
1500000219650,1500000219650,car,Logger,2020-11-30 00:00:00.000,10970,2020-11-30 14:30:34.000,2020-11-30 14:48:50.900,1096.9,0 days 00:18:16.900000,10.000911660133102,7862,2020-11-30 14:30:34,2020-11-30 14:48:50.100000,7.233733247016323,7934.681998652205,9.47589298840136,17.814415531742036,15.045785540361416,60.98535693482597
1500000219651,1500000219651,car,Logger,2020-11-30 00:00:00.000,15840,2020-11-30 15:00:53.000,2020-11-30 15:27:16.900,1583.9,0 days 00:26:23.900000,10.000631352989457,7694,2020-11-30 15:00:53,2020-11-30 15:27:16.900000,5.008055869729573,7932.259692064671,9.49424013199854,22.653657918593986,19.86164773549336,79.13648315212293
1500000219652,1500000219652,car,Logger,2020-11-30 00:00:00.000,3310,2020-11-30 15:33:47.000,2020-11-30 15:39:17.900,330.9,0 days 00:05:30.900000,10.003022061045634,2375,2020-11-30 15:33:47,2020-11-30 15:39:17.800000,7.353811279149211,2433.3761522704735,9.538822110893449,20.57247525989633,19.13172552244244,72.22475421755556
1500000219653,1500000219653,car,Logger,2020-11-30 00:00:00.000,16670,2020-11-30 16:11:56.000,2020-11-30 16:39:42.900,1666.9,0 days 00:27:46.900000,10.000599916011758,10525,2020-11-30 16:11:56,2020-11-30 16:39:42,6.359102671562048,10599.988243226779,9.013586336614269,23.696893224147367,21.467475293845556,82.16887178405311
1500000219654,1500000219654,car,Logger,2020-11-30 00:00:00.000,7880,2020-11-30 16:56:57.000,2020-11-30 17:10:04.900,787.9,0 days 00:13:07.900000,10.001269196598553,6645,2020-11-30 16:56:57,2020-11-30 17:10:04.900000,10.531174125663194,8297.51209361003,11.989528137773716,25.72861783128792,10.491654633053843,75.28340125245425
1500000219655,1500000219655,car,Logger,2020-11-30 00:00:00.000,12820,2020-11-30 17:30:33.000,2020-11-30 17:51:54.900,1281.9,0 days 00:21:21.900000,10.000780092050862,10445,2020-11-30 17:30:33,2020-11-30 17:51:54.500000,9.589616055422825,12292.92882144652,10.868296963229545,66.56293260713002,19.794575656391753,271.2646630356501
1500000219656,1500000219656,car,Logger,2020-11-30 00:00:00.000,5300,2020-11-30 18:18:35.000,2020-11-30 18:27:24.900,529.9,0 days 00:08:49.900000,10.00188714851859,694,2020-11-30 18:18:35,2020-11-30 18:27:24.200000,1.1647073658831635,617.1784331814883,7.200083578814988,15.080021851841364,12.695260607404089,41.10022973721552
1500000219657,1500000219657,car,Logger,2020-12-01 00:00:00.000,2340,2020-12-01 07:54:55.000,2020-12-01 07:58:48.900,233.9,0 days 00:03:53.900000,10.004275331338178,494,2020-12-01 07:54:55,2020-12-01 07:58:48.400000,1.227967620184776,287.22162636121914,3.4255735609631324,5.9382944562623905,5.809489031038048,23.057116512582436
1500000219658,1500000219658,car,Logger,2020-12-01 00:00:00.000,15680,2020-12-01 09:21:29.000,2020-12-01 09:47:36.900,1567.9,0 days 00:26:07.900000,10.000637795777791,11797,2020-12-01 09:21:29,2020-12-01 09:47:36.700000,12.510404658261056,19615.06346368751,14.139075318810539,32.083553013738744,36.88926017778134,112.33168647397302
1500000219659,1500000219659,car,Logger,2020-12-01 00:00:00.000,8570,2020-12-01 10:20:23.000,2020-12-01 10:34:39.900,856.9,0 days 00:14:16.900000,10.001166997315906,4296,2020-12-01 10:20:23,2020-12-01 10:34:38.700000,5.145654995893473,4409.311765981117,9.202455918317943,26.950230874432457,14.768538917599887,175.93908149673857
1500000219660,1500000219660,car,Logger,2020-12-01 00:00:00.000,8350,2020-12-01 10:52:36.000,2020-12-01 11:06:30.900,834.9,0 days 00:13:54.900000,10.001197748233322,5456,2020-12-01 10:52:36,2020-12-01 11:06:30.900000,8.784252423212335,7333.972348139979,12.632835641687386,21.61226377715387,37.34057515848139,76.18779170689656
